time,latitude,longitude,temperature
29264,-67,-179,-0.020000
29264,-67,-177,-0.020000
29264,-67,-175,-0.020000
29264,-67,-173,-0.020000
29264,-67,-171,0.060000
29264,-67,-169,0.230000
29264,-67,-167,0.230000
29264,-67,-165,0.230000
29264,-67,-163,0.230000
29264,-67,-161,0.120000
29264,-67,-159,0.120000
29264,-67,-157,0.120000
29264,-67,-155,0.120000
29264,-67,-153,0.260000
29264,-67,-151,0.410000
29264,-67,-149,0.410000
29264,-67,-147,0.410000
29264,-67,-145,0.410000
29264,-67,-143,0.860000
29264,-67,-141,0.860000
29264,-67,-139,0.860000
29264,-67,-137,0.860000
29264,-67,-135,0.860000
29264,-67,-133,NaN
29264,-67,-131,NaN
29264,-67,-129,NaN
29264,-67,-127,NaN
29264,-67,-125,1.590000
29264,-67,-123,1.590000
29264,-67,-121,1.590000
29264,-67,-119,1.590000
29264,-67,-117,1.680000
29264,-67,-115,1.720000
29264,-67,-113,1.720000
29264,-67,-111,1.720000
29264,-67,-109,1.720000
29264,-67,-107,2.060000
29264,-67,-105,2.060000
29264,-67,-103,2.060000
29264,-67,-101,2.060000
29264,-67,-99,2.180000
29264,-67,-97,2.290000
29264,-67,-95,2.290000
29264,-67,-93,2.290000
29264,-67,-91,2.290000
29264,-67,-89,2.110000
29264,-67,-87,2.110000
29264,-67,-85,2.110000
29264,-67,-83,2.110000
29264,-67,-81,2.040000
29264,-67,-79,1.910000
29264,-67,-77,1.910000
29264,-67,-75,1.910000
29264,-67,-73,1.910000
29264,-67,-71,1.260000
29264,-67,-69,1.260000
29264,-67,-67,1.260000
29264,-67,-65,1.260000
29264,-67,-63,1.260000
29264,-67,-61,NaN
29264,-67,-59,NaN
29264,-67,-57,NaN
29264,-67,-55,NaN
29264,-67,-53,NaN
29264,-67,-51,NaN
29264,-67,-49,NaN
29264,-67,-47,NaN
29264,-67,-45,NaN
29264,-67,-43,NaN
29264,-67,-41,NaN
29264,-67,-39,NaN
29264,-67,-37,NaN
29264,-67,-35,NaN
29264,-67,-33,NaN
29264,-67,-31,NaN
29264,-67,-29,NaN
29264,-67,-27,0.290000
29264,-67,-25,0.290000
29264,-67,-23,0.290000
29264,-67,-21,0.290000
29264,-67,-19,0.290000
29264,-67,-17,0.120000
29264,-67,-15,0.120000
29264,-67,-13,0.120000
29264,-67,-11,0.120000
29264,-67,-9,-0.180000
29264,-67,-7,-0.490000
29264,-67,-5,-0.490000
29264,-67,-3,-0.490000
29264,-67,-1,-0.490000
29264,-67,1,-0.730000
29264,-67,3,-0.730000
29264,-67,5,-0.730000
29264,-67,7,-0.730000
29264,-67,9,-0.650000
29264,-67,11,-0.480000
29264,-67,13,-0.480000
29264,-67,15,-0.480000
29264,-67,17,-0.480000
29264,-67,19,-0.410000
29264,-67,21,-0.410000
29264,-67,23,-0.410000
29264,-67,25,-0.410000
29264,-67,27,-0.390000
29264,-67,29,-0.360000
29264,-67,31,-0.360000
29264,-67,33,-0.360000
29264,-67,35,-0.360000
29264,-67,37,-0.540000
29264,-67,39,-0.540000
29264,-67,41,-0.540000
29264,-67,43,-0.540000
29264,-67,45,-0.540000
29264,-67,47,NaN
29264,-67,49,NaN
29264,-67,51,NaN
29264,-67,53,NaN
29264,-67,55,NaN
29264,-67,57,NaN
29264,-67,59,NaN
29264,-67,61,NaN
29264,-67,63,-0.800000
29264,-67,65,-0.800000
29264,-67,67,-0.800000
29264,-67,69,-0.800000
29264,-67,71,-0.800000
29264,-67,73,NaN
29264,-67,75,NaN
29264,-67,77,NaN
29264,-67,79,NaN
29264,-67,81,NaN
29264,-67,83,NaN
29264,-67,85,NaN
29264,-67,87,NaN
29264,-67,89,NaN
29264,-67,91,NaN
29264,-67,93,NaN
29264,-67,95,NaN
29264,-67,97,NaN
29264,-67,99,NaN
29264,-67,101,NaN
29264,-67,103,NaN
29264,-67,105,NaN
29264,-67,107,NaN
29264,-67,109,NaN
29264,-67,111,NaN
29264,-67,113,NaN
29264,-67,115,NaN
29264,-67,117,NaN
29264,-67,119,NaN
29264,-67,121,NaN
29264,-67,123,NaN
29264,-67,125,NaN
29264,-67,127,NaN
29264,-67,129,NaN
29264,-67,131,NaN
29264,-67,133,NaN
29264,-67,135,NaN
29264,-67,137,NaN
29264,-67,139,NaN
29264,-67,141,NaN
29264,-67,143,NaN
29264,-67,145,NaN
29264,-67,147,NaN
29264,-67,149,NaN
29264,-67,151,NaN
29264,-67,153,NaN
29264,-67,155,NaN
29264,-67,157,NaN
29264,-67,159,NaN
29264,-67,161,NaN
29264,-67,163,NaN
29264,-67,165,NaN
29264,-67,167,NaN
29264,-67,169,NaN
29264,-67,171,0.120000
29264,-67,173,0.120000
29264,-67,175,0.120000
29264,-67,177,0.120000
29264,-67,179,0.120000
29264,-65,-179,0.140000
29264,-65,-177,0.140000
29264,-65,-175,0.130000
29264,-65,-173,0.120000
29264,-65,-171,0.180000
29264,-65,-169,0.230000
29264,-65,-167,0.230000
29264,-65,-165,0.230000
29264,-65,-163,0.230000
29264,-65,-161,0.230000
29264,-65,-159,0.230000
29264,-65,-157,0.240000
29264,-65,-155,0.240000
29264,-65,-153,0.380000
29264,-65,-151,0.520000
29264,-65,-149,0.530000
29264,-65,-147,0.560000
29264,-65,-145,0.560000
29264,-65,-143,0.840000
29264,-65,-141,0.840000
29264,-65,-139,0.850000
29264,-65,-137,0.860000
29264,-65,-135,1.010000
29264,-65,-133,1.200000
29264,-65,-131,1.210000
29264,-65,-129,1.210000
29264,-65,-127,1.210000
29264,-65,-125,1.440000
29264,-65,-123,1.440000
29264,-65,-121,1.450000
29264,-65,-119,1.460000
29264,-65,-117,1.610000
29264,-65,-115,1.760000
29264,-65,-113,1.770000
29264,-65,-111,1.800000
29264,-65,-109,1.800000
29264,-65,-107,2.210000
29264,-65,-105,2.210000
29264,-65,-103,2.240000
29264,-65,-101,2.240000
29264,-65,-99,2.410000
29264,-65,-97,2.580000
29264,-65,-95,2.590000
29264,-65,-93,2.610000
29264,-65,-91,2.610000
29264,-65,-89,2.400000
29264,-65,-87,2.400000
29264,-65,-85,2.390000
29264,-65,-83,2.380000
29264,-65,-81,2.220000
29264,-65,-79,2.060000
29264,-65,-77,2.050000
29264,-65,-75,2.030000
29264,-65,-73,2.030000
29264,-65,-71,1.390000
29264,-65,-69,1.390000
29264,-65,-67,1.340000
29264,-65,-65,1.320000
29264,-65,-63,1.320000
