"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Europe & Central Asia (excluding high income)","ECA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.107745","","20.545215","","19.41539","17.971075","17.543045","18.05868","","17.136035","17.83927","","","","16.652505","15.57059","","","",
"Europe & Central Asia","ECS","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.74218","19.03788","18.47854","19.11908","","","","","21.75964","20.16012","19.90889","21.39148","21.893865","21.89651","22.327535","21.52906","22.06359","21.953055","23.37085","21.82186","22.1647","22.493215","22.12875","21.29603","","","","",
"Ecuador","ECU","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","16.53528","9.88327","","","","","","23.03266","","","","","","","21.56844","20.49441","17.91753","","","","","","","","","23.21022","","","","8.00464","5.16006","","","","","","","","","30.20973","35.78782","33.45215","34.49249","32.25039","40.37434","43.51374","","","","","",
"Egypt, Arab Rep.","EGY","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","22.31814","23.2345","","30.17472","30.71504","32.2882","29.9504","36.14397","","38.1276","","38.82118","38.04818","","","","","32.10359","32.65576","","","41.18938","39.6472","38.1923","39.36949","39.62225","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","16.66636","","","15.21888","15.78685","16.02081","","14.84121","14.96101","","19.14919","18.594065","16.82197","17.039905","","19.14323","19.60337","19.479345","","20.98081","21.29734","19.37901","17.599355","19.03788","18.453135","19.60685","","23.25234","18.66288","21.78937","22.21854","22.31369","20.99272","22.66374","22.02685","22.88983","22.86417","22.3045","22.627575","22.194875","23.402055","22.30695","22.41869","22.493215","23.3454","21.543125","","","","",
"Eritrea","ERI","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","14.04755","14.889","","31.89752","","","","","","","","","","","","","","","","",
"Spain","ESP","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","19.25179","19.80518","16.13149","","15.08795","","16.25732","16.03191","14.80088","13.49335","","","","","","","","14.69081","15.13185","16.02944","18.37728","18.97839","19.3079","17.81659","17.41762","18.09287","19.85609","","19.78396","20.0789","21.78937","22.80482","22.84219","23.21864","22.8942","22.36546","22.25303","22.86417","23.07994","22.82928","23.43326","23.43326","22.30695","22.43703","22.49025","22.35801","21.79022","","","","",
"Estonia","EST","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.37901","15.90151","16.26499","17.67489","19.35761","18.42714","16.67671","16.7703","","19.55571","19.7054","19.26275","17.3814","18.94835","","21.97672","19.87099","22.06965","21.73776","25.08595","21.82186","28.22683","26.23038","27.04369","27.11812","","","","",
"Ethiopia","ETH","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","15.86699","18.50355","","","","","20.33452","16.67278","15.50456","20.06179","18.58082","17.85685","16.5917","15.85055","16.10216","16.27679","","","","","","","13.50904","","","15.01745","15.92996","","","","","","","","","","","","39.12769","43.93656","44.87735","46.83746","42.71091","45.92157","47.8522","","","","","",
"European Union","EUU","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","15.34622","","16.121935","","16.9308","16.62879","","","","","","","","","19.479345","","","19.437755","19.0434","17.974325","18.54985","18.453135","19.35761","","22.40185","19.563955","21.40453","21.75964","20.655415","20.20303","21.50678","21.893865","22.25303","22.86417","22.51867","22.627575","22.37789","23.41289","23.404415","22.40035","22.493215","22.851705","21.79022","","","","",
"Fragile and conflict affected situations","FCS","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.03359","","","","","","","","","","",
"Finland","FIN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","11.10335","11.08267","12.85344","13.61692","15.21888","15.49578","15.53431","","","21.17686","21.09017","21.09386","20.93651","20.23458","20.60349","21.03596","19.94489","21.3042","22.72688","23.81815","25.39611","28.29078","29.95806","28.22735","25.73164","28.41765","28.3269","","","33.8313","34.03043","32.94224","32.47478","32.03157","32.20137","31.81018","31.65186","31.36248","31.00429","31.74847","31.8473","32.0233","28.56467","28.04155","27.91297","26.69626","26.54204","","","","",
"Fiji","FJI","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","6.9287","","5.33414","","9.99177","","","","","","8.84355","","","","","","","","","16.11417","14.92464","14.41922","16.04438","13.61265","","15.88924","","","","","","","12.95693","","22.563","","","","","","","",
"France","FRA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","18.36914","18.24548","17.3819","16.99268","15.01425","14.3418","14.10462","13.87871","13.89264","13.81777","13.44494","13.75122","13.54187","13.35365","13.62549","14.09092","14.332","14.20306","14.37796","14.84783","15.28171","15.1721","15.84919","16.96847","16.76909","17.65063","18.14906","","","17.58146","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","9.56564","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","9.80873","","","","","","","","","","","","37.84394","34.09083","33.89354","45.35416","37.82598","","","","","","",
"United Kingdom","GBR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","23.75912","25.06369","24.46063","23.22398","21.76194","20.74074","21.51866","","","22.42626","23.02427","22.81192","22.69803","21.91608","22.58611","21.0873","20.7827","20.16751","20.07865","20.44396","20.68082","21.79378","","23.02001","23.62598","23.73445","","21.94441","20.11308","17.54055","17.23762","20.63792","19.76077","19.29337","22.29214","20.10144","17.38604","15.70931","14.36972","16.39469","22.09704","","23.9586","24.32627","22.82077","25.61589","","","","",
"Georgia","GEO","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.69486","","","","","","","","","","","","","","11.5767","","","11.1604","19.1708","","","","11.08576","10.07808","","","",
"Ghana","GHA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","27.00304","25.76102","","19.78773","19.94042","16.03185","15.2477","","2.2725","","1.82328","2.16217","","","","2.09448","15.2789","11.72626","","","","","","","","","","","","","14.19508","","","19.5374","22.0727","20.30182","26.01762","25.8532","23.87346","25.9484","13.12625","18.5205","19.4198","18.26524","","","","","","",
"Gibraltar","GIB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","23.55531","","","","","","","24.96345","20.73618","23.33649","","","","","","","","","","","25.77659","30.56197","","","34.42411","34.20871","36.23715","43.33534","33.38798","34.6366","39.14773","39.1215","36.68386","36.68386","17.2974","","",
"Gambia, The","GMB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","13.41392","12.39022","","","13.401","19.92708","14.09832","0","","","19.20295","22.87175","","","","","26.55078","27.61333","26.00772","15.47192","14.26939","13.76917","15.00642","9.03216","8.73382","9.88183","7.63092","7.36082","10.72789","14.56867","11.32833","","","","","",
"Guinea-Bissau","GNB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.01284","6.34808","5.78928","3.89815","","","","","","","",
"Equatorial Guinea","GNQ","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.12889","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","15.39659","19.72222","","25.65756","26.74787","24.87307","27.12847","25.57905","23.10657","","","23.65537","23.02298","18.58294","24.3268","","23.93714","23.69923","24.01699","24.87225","24.23389","23.92152","","","","","","","30.97601","29.11155","24.03279","30.52848","32.42395","30.93179","34.64413","36.0952","","","","","","","","","","","","","","","",
"Grenada","GRD","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7668","","","","","","","","","","","","","","13.58036","","","",
"Greenland","GRL","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","12.04295","11.53894","","","","","19.35075","","","","","","","","","","","","","","","","","21.51215","16.51901","16.85953","17.0973","","","","","","","","","","11.88161","10.91625","10.79647","","11.33206","12.44837","12.82632","12.29717","12.13767","13.78745","14.64296","13.22195","13.89463","","",
"Guam","GUM","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","19.79108","17.34294","19.87934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","14.85379","","","","","","","21.82322","","13.27115","","","","13.24271","19.46536","","","","","","","","","","5.41996","6.46579","","","","","","","4.86286","","6.20109","","5.24019","5.89013","","7.34472","5.29366","3.86574","5.06216","","","","","","","","",
"High income","HIC","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","19.14795","20.365475","19.08601","","21.37459","19.684915","19.098535","20.600425","20.30245","","","","19.8926","","19.84634","","","20.91898","19.490385","19.560795","20.164175","19.85574","19.80048","","20.34507","19.563955","","21.09976","21.31214","20.72279","22.34105","22.110945","22.88983","22.86417","23.07994","23.026005","22.53438","23.816455","","24.45544","24.511305","25.2831","22.84284","","","","",
"Hong Kong SAR, China","HKG","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","24.58131","27.04488","20.53477","19.14795","22.95178","22.84042","24.07422","27.0656","","31.84732","30.73586","3.07927","28.35589","27.96404","26.66659","","","","","31.76391","","34.65119","","","","40.02293","","","","","","","","30.34683","28.35577","29.88298","30.69473","30.84998","45.5057","27.77816","28.65495","32.79963","38.87206","29.23212","29.5277","30.43803","28.49483","29.38676","","",
"Honduras","HND","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","15.365","16.29944","17.70738","","","","","","","","","","","","","","20.17722","16.72227","","","","","","","","","","","","","","","","","","18.48948","13.72908","13.69218","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.69888","16.1532","18.3499","20.227775","","","","","","","",
"Croatia","HRV","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.14969","18.54726","18.10904","","","19.80252","21.9574","18.85064","18.31597","22.15709","","21.85532","","","","","","","",
"Haiti","HTI","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","9.56593","9.4052","8.33183","9.9837","15.18714","","","","","","10.15787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","25.78324","25.52945","24.11137","23.49261","23.23878","22.93974","23.39065","23.56935","22.79469","22.58709","19.60095","19.41084","19.29769","19.57932","24.00492","18.0397","18.29525","18.25978","14.35444","14.99377","15.27215","14.37992","17.34233","17.49822","18.54985","18.68247","16.53592","","19.56093","20.02924","21.01969","21.09976","21.15071","20.69117","18.70517","18.89088","19.14149","19.71294","20.01192","22.05753","20.11094","23.39252","19.08823","21.33464","16.44862","14.33275","16.07903","","","","",
"IBRD only","IBD","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.45768","","18.800305","","19.41539","","18.86044","19.59373","18.366815","19.53558","19.46464","20.23468","","","","","","","",
"IDA & IBRD total","IBT","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.918445","18.41766","17.92992","18.204235","19.006485","","","","","","","",
"IDA total","IDA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.79216","16.02238","17.50099","18.97826","","","","","","","",
"IDA blend","IDB","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","16.680755","16.334795","","","22.614705","","","","","19.361185","","","18.04282","17.470655","","","","","16.03481","","","15.15625","","17.194825","","","","","","","","","","","","","","","","","","","14.21517","","","","","","","",
"Indonesia","IDN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","13.58038","","","","","","","","","","","","","","","","","22.40084","","","","","28.53681","33.92011","29.55313","30.36174","","","","","","","","","","12.75693","10.97822","12.16564","16.05356","","17.17783","16.4055","15.05278","15.80023","","","","","",
"IDA only","IDX","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.34551","18.8408","16.1532","17.50099","19.227255","","","","","","","",
"Isle of Man","IMN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.54497","20.29511","","","20.08727","20.01232","19.55496","20.28408","","","36.45114","36.07652","34.68074","32.1669","28.52687","","","","","","","",
"Not classified","INX","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","14.07678","16.35636","15.14821","15.38101","","18.26555","19.53941","19.95449","19.92141","19.60439","19.52195","18.79571","17.96747","16.65529","17.65696","18.46084","19.60337","19.43352","19.58516","21.6171","21.37942","22.30532","22.46696","22.9682","23.27463","24.73357","","25.47865","27.14333","30.27471","28.56122","27.63626","24.85275","23.46116","23.30093","23.94685","23.35125","23.25964","23.7471","22.2214","21.7278","21.39313","21.51171","20.84728","23.3454","19.58165","","","","",
"Iran, Islamic Rep.","IRN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","16.21516","15.29587","17.7235","19.14271","22.95501","","42.27562","","","","9.02164","7.99397","7.31019","19.96691","12.81575","12.61932","11.83427","11.82706","12.38934","13.41001","15.81056","16.81619","16.56537","","24.93637","26.16373","","","","","19.37769","18.45768","17.07719","15.64982","15.35867","20.59545","20.37027","20.6675","22.02841","21.357","27.23287","27.6329","22.942","28.00192","29.39239","29.82631","32.63151","28.23956","","",
"Iraq","IRQ","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","30.12041","","","27.82392","","","","","","","","","22.3203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.69581","","","22.35947","19.95012","19.21384","16.41832","","","18.00828","18.08919","17.8513","18.06618","18.5847","18.54073","19.1299","17.97757","18.88142","19.70401","20.3974","21.46367","19.42101","19.39008","19.36308","18.80458","18.88877","19.91437","","","","",
"Israel","ISR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","26.97823","23.04833","22.10393","25.67568","20.84332","24.03896","21.73007","26.17066","24.46224","23.52427","24.49715","21.62841","19.87724","20.08052","18.12991","17.60797","17.73543","17.29696","16.65671","17.33179","16.23331","17.32585","","","","18.17252","18.35522","18.30188","17.85959","16.71338","18.46707","16.46765","16.56578","16.47318","17.5694","15.99683","17.31584","16.88245","16.22442","16.17742","15.80843","15.06281","16.23448","15.15743","","","","",
"Italy","ITA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","10.04352","11.75334","","","10.27578","13.38997","11.97116","","10.35761","8.97635","","","","12.04092","13.28972","14.58592","15.03165","","16.03336","","","","","16.88954","16.06481","15.7263","15.95331","","16.29356","18.49989","18.49989","16.35727","18.49989","16.41901","16.91673","17.2388","16.98507","17.67782","18.3255","18.27","18.76402","19.35506","19.26296","19.56552","19.58569","18.59916","19.11673","","","","",
"Jamaica","JAM","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","7.49139","9.03829","18.43401","18.2329","18.76935","","","","","","","","19.15573","19.23205","","19.45934","19.02958","17.82766","20.60858","22.28916","25.14373","19.27121","23.65064","21.76215","21.39767","","","","21.33073","19.15634","14.79285","18.82431","22.07259","","19.99549","15.71206","20.27473","21.84405","19.84049","17.56025","17.6092","17.4903","17.387","18.22901","19.25634","19.59513","","",
"Jordan","JOR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","17.97129","14.99937","2.43939","3.41027","3.43244","4.79732","4.08021","3.84161","3.96516","25.11416","","35.47603","37.47231","35.06809","47.71208","","","","6.3796","34.62713","","","","","","","35.91859","28.31836","","18.65662","","","","","","","","","","","","","","","","","19.93532","18.53475","22.74788","","",
"Japan","JPN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9977","20.76276","","19.79765","","","","",
"Kazakhstan","KAZ","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.01862","15.62255","13.91084","","","","","13.11318","","11.6942","12.29546","16.39616","13.91138","13.8967","13.13384","","","","","","15.25645","11.64466","10.56175","9.38161","","",
"Kenya","KEN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","15.08809","13.71566","14.85664","11.68364","14.13138","11.19491","13.02104","","","17.834","15.67243","14.97724","15.87608","14.47537","13.93536","14.24612","","16.09102","16.3352","","28.57054","20.03523","21.26883","17.0357","","","","","11.45801","11.71209","13.08694","","12.1481","12.90978","","15.41745","","","","","12.77934","17.60868","14.21517","13.70252","13.07397","","","","","",
"Kyrgyz Republic","KGZ","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.56559","8.80396","14.53359","","19.20195","16.06488","14.71871","17.21801","19.61855","19.90889","19.81749","19.18243","17.97466","15.90341","16.44074","15.62133","15.51681","","12.02614","12.77683","4.63573","","3.02277","3.03152","","","",
"Cambodia","KHM","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.56572","","","","","","","","","","","6.2996","5.84669","5.33979","","6.10003","","","","","","","",
"Kiribati","KIR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","14.33225","0","","","9.44056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","2.13733","","0","","0","","0","11.59873","","","12.87201","","","13.49036","","","","","","","","","","","","","","","","","15.35573","","","","","",
"Korea, Rep.","KOR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","8.22921","8.27908","8.19559","8.7577","","10.69538","11.05216","8.14067","","12.02397","11.39619","10.20958","28.60496","11.83113","12.78049","11.54272","10.72564","10.59816","9.74798","10.15708","9.72375","8.27943","8.24123","8.33947","7.90566","8.0163","","","10.70037","13.53838","","","","","","","","","","","","","","","","","20.44728","","","","",
"Kuwait","KWT","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","13.09799","11.99753","12.45296","12.53142","11.57833","19.90647","19.51881","25.31808","21.68477","18.50602","21.98167","1.71012","14.83036","19.87587","20.66126","20.97769","","","","","","38.71083","","","","34.97349","31.52783","","","","","33.44699","","34.78536","32.60241","32.60061","","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.16301","","","","","18.13501","19.15676","18.176665","","18.08534","","","17.7498","","18.98625","19.100775","19.63842","19.46464","18.48948","19.27436","20.5357","20.36758","","","","",
"Lao PDR","LAO","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1187","","","","9.07226","7.9228","","","12.32424","17.13012","12.62898","","","","","","","23.2289","16.22068","20.88987","15.73127","14.04997","13.81231","","","","","","",
"Lebanon","LBN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.01195","24.94285","20.10892","19.06705","","","","","","28.45789","","25.05443","28.7626","27.26078","25.33283","28.97518","26.6466","27.19232","26.49415","30.71696","28.74148","","","","","","","",
"Liberia","LBR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","15.64279","","26.6579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.56345","","","","","","","","",
"Libya","LBY","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","27.27242","28.71532","","","","","","","","","","","","","","","","","","","","","","52.72631","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","4.96316","7.61932","7.44392","8.79846","11.69268","","","","","","0.71853","","","","5.00262","","","","","","","","9.44399","","","","","11.11348","","","","","","","","","","6.3012","4.5958","5.0111","","","","","","","0","","",
"Latin America & Caribbean","LCN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.176665","","18.08534","","","17.7498","","","19.6634","19.84049","","18.60182","20.40408","20.958645","","","","","",
"Least developed countries: UN classification","LDC","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.79216","16.871915","16.61613","19.03471","","","","","","","",
"Low income","LIC","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.63902","16.871915","17.61433","21.83598","","","","","","","",
"Liechtenstein","LIE","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.86868","13.88673","","9.07011","9.09177","","","","","","","","","","","","","",
"Sri Lanka","LKA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","7.6171","","7.79373","","","","11.82156","15.50862","16.28131","16.62072","17.64706","20.78702","17.30815","21.01291","19.2426","17.2139","17.13256","17.14359","12.4171","","","14.9825","14.13165","12.21365","","","","","","","","","","","","","18.19491","16.42822","17.75958","18.72904","21.12484","20.16606","19.38278","12.12355","12.96432","20.74192","","",
"Lower middle income","LMC","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.34524","16.22068","","17.60868","16.41355","","","","","","","",
"Low & middle income","LMY","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.918385","18.225625","17.45981","18.05857","18.60182","","","","","","","",
"Lesotho","LSO","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","13.38306","17.20517","22.2002","20.16288","","","","","","","","","20.39546","18.4907","18.837","","","17.96384","16.71818","","","","15.64946","18.89307","13.73373","","23.38802","","21.86322","16.71094","18.63831","","","","36.44391","36.81825","","36.38363","","","","","","","","","","7.40778","","",
"Late-demographic dividend","LTE","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.54807","17.94588","","","","","19.87471","19.45415","","18.92012","21.05642","20.95031","","20.54401","19.59373","19.62595","20.44679","20.19057","21.12484","","21.273015","19.58165","","","","",
