"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Belgium","BEL","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","16.07792","15.93583","16.62011","18.92186","19.44842","18.59612","18.77643","18.39242","","","","19.14323","19.06874","19.52517","","","","","17.38212","20.43844","20.497","21.45639","","","","","","","","","21.69712","","","21.31581","22.42587","22.16835","21.9973","","21.84376","22.49618","22.12875","22.2845","","","","",
"Benin","BEN","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.75625","18.31953","21.68571","20.60177","19.48373","21.20287","20.64072","20.16098","17.6369","18.49557","15.6043","","24.7532","21.03575","20.34996","22.14901","","","","","",
"Burkina Faso","BFA","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","35.73092","","33.84101","","","30.83444","","30.82397","","","0","","","","","","16.10354","","0","","","","","","","","","9.57532","11.12015","15.20193","","","18.8408","15.31161","17.50099","21.71843","12.2894","13.65212","","","","","",
"Bangladesh","BGD","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","22.13401","21.90686","15.8549","12.73232","11.55024","11.48712","10.57759","9.62477","9.2748","","","8.24368","9.08171","10.18077","8.50549","","","","4.73789","","10.96074","10.11549","10.10512","11.1389","9.1102","11.54205","","12.92764","11.4676","13.26487","13.50141","","10.29338","14.73352","","","","33.27739","","","","",
"Bulgaria","BGR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","13.11037","16.76708","17.57396","17.27908","15.31143","15.13059","16.13808","19.67544","15.98357","16.701","16.49181","","","","","","","","","","18.79169","14.40011","15.89511","18.13206","17.69536","18.15598","20.17427","","14.36013","","","15.8498","15.19467","19.69626","21.27294","16.85969","17.28856","16.43187","19.40024","20.69422","14.80771","16.97615","17.8056","15.91611","","","","","","","",
"Bahrain","BHR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","4.58422","4.40986","10.46193","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.40469","","","","","","","",
"Bahamas, The","BHS","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.67875","25.47756","26.71441","20.189","","20.0739","17.1275","17.29592","17.87294","17.58319","16.89418","16.75625","16.10117","16.47839","","","",
"Belize","BLZ","Expenditure on tertiary education (% of government expenditure on education)","SE.XPD.TERT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.41435","6.52924","","","","10.76745","","","","9.18919","10.91408","8.66601","","","13.56864","12.98805","11.81363","10.06137","9.47148","","","",
